name,group,pool,mu_delta,sd_delta,b_shift0,noise,t1,t2,boost,pass_rate,pct_reduction_true,n_inc_task1,n_inc_task2,fail_counts,best_model,dz_true,neff_N100,neff_N130,neff_N150,neff_N200,sdmeas_weight_0,recov_weight_0,sdmeas_weight_90,recov_weight_90,mean_d_weight,sd_d_weight,dz_obs_weight,power_weight_N100,power_weight_N130,power_weight_N150,power_weight_N200,power_emp_weight_N150,mde_logwd_weight_N150,mde_pct_weight_N150,sdmeas_both_0,recov_both_0,sdmeas_both_90,recov_both_90,mean_d_both,sd_d_both,dz_obs_both,power_both_N100,power_both_N130,power_both_N150,power_both_N200,power_emp_both_N150,mde_logwd_both_N150,mde_pct_both_N150
A_mu+0.00,"A  effect size  (sd_delta=0.30, b~N(.4,.3), split 30/60, noise 1.2)",800,0.0,0.3,0.0,1.2,30,60,1.2,0.975,0.0,8.584810126582278,16.835443037974684,"{'': 1580, 'too_few_trials': 20}","{'null': 0.3, 'choice': 0.3, 'weight': 0.28, 'both': 0.11}",-0.06806637091101325,85,110,127,170,0.6103392692539651,0.6931267443504164,0.6064528824504329,0.5804247502938487,-0.026597557564953432,0.7943477588958845,-0.03348351810285599,0.06073671470293379,0.06399309408858087,0.06621376678056129,0.0718528729871876,0.04,0.19899609607672175,18.044690720092284,0.548955640590103,0.6437924326476853,0.5899168433438025,0.5188581272620949,-0.045097696958457806,0.8636559804813168,-0.05221719987780875,0.07632827928513865,0.08438504668583317,0.08989430435784598,0.10392954392690056,0.0705,0.2163588510754793,19.455378523343747
A_mu-0.20,"A  effect size  (sd_delta=0.30, b~N(.4,.3), split 30/60, noise 1.2)",800,-0.2,0.3,0.0,1.2,30,60,1.2,0.9675,18.12692469220182,8.566073697585768,16.853875476493013,"{'': 1574, 'too_few_trials': 26}","{'weight': 0.32, 'choice': 0.3, 'null': 0.27, 'both': 0.12}",-0.707973134332813,84,109,126,168,0.6295802741019816,0.7264469692542883,0.5824946580288168,0.5957481272888264,-0.2792502928338414,0.8340440007219997,-0.3348148210311509,0.8583584264822588,0.9337550876687016,0.9615776544422339,0.9907298482610564,0.982,0.20978105837209388,18.923826396617237,0.5742606896365072,0.6707784521995742,0.5712039944455441,0.5285790162729703,-0.24311609851186458,0.875681299428295,-0.2776307986371155,0.710565962639702,0.8193057904546597,0.8712677765112585,0.9471441451244457,0.892,0.2202537871283709,19.76848451366284
F_boost0.8,"F  evidence boost, logit(prop) for the high sample  (mu_delta=-0.20; task default 1.2)",800,-0.2,0.3,0.0,1.2,30,60,0.8,0.9925,18.12692469220182,8.54077791718946,16.961104140526977,"{'': 1594, 'too_few_trials': 6}","{'choice': 0.32, 'weight': 0.3, 'null': 0.25, 'both': 0.12}",-0.678705523497213,86,112,130,173,0.7634713836686949,0.6674021492325821,0.7078556384406894,0.5673354965022323,-0.31900350064223415,0.9546883349202074,-0.33414412743285105,0.8651096724066947,0.9388905413754518,0.9657233281163026,0.9920314125270413,0.971,0.23634568439674797,21.049229373997804,0.5952622169919705,0.6062810330001125,0.5997136835677115,0.4968186820510486,-0.23678097673524098,0.9065741528728881,-0.26118213935936063,0.6681166467868704,0.782346947244197,0.8403097340485567,0.9273184634576047,0.862,0.22443438426955636,20.103200015107735
F_boost1.0,"F  evidence boost, logit(prop) for the high sample  (mu_delta=-0.20; task default 1.2)",800,-0.2,0.3,0.0,1.2,30,60,1.0,0.98875,18.12692469220182,8.58328095537398,17.05971087366436,"{'': 1591, 'too_few_trials': 9}","{'weight': 0.31, 'choice': 0.29, 'null': 0.25, 'both': 0.14}",-0.6583971701652258,86,112,129,172,0.6922574438746979,0.704364260423225,0.6965872937618692,0.5852410009073814,-0.2733741389337255,0.9239986372398562,-0.29585989406904467,0.7741585665514794,0.8736718888192057,0.9154406569352125,0.9711730424338942,0.9315,0.22964648645486527,20.518546945310778,0.6220513869907037,0.6334873772099842,0.6150317689560059,0.517960094292834,-0.22248415633741098,0.9147644731256726,-0.24321468845111738,0.606426393303137,0.7229615719283954,0.7827889702992965,0.8872060496165892,0.804,0.22735146862831904,20.335926114796642
